concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
76798,4241346,Has finding site,2011-07-31,2099-12-31,
134057,43020925,Subsumes,2013-01-31,2099-12-31,
312327,438172,Follows,2016-01-31,2099-12-31,
312327,438172,Occurs before,2011-07-31,2099-12-31,
312723,4027246,Subsumes,2011-07-31,2099-12-31,
312723,4049297,Subsumes,2011-07-31,2099-12-31,
312723,4102845,Subsumes,2011-07-31,2099-12-31,
312723,40487037,Subsumes,2011-07-31,2099-12-31,
312723,40493209,Subsumes,2011-07-31,2099-12-31,
313217,2617597,Mapped from,2014-08-01,2099-12-31,
313217,4068155,Is a,2011-07-31,2099-12-31,
313217,4139517,Due to of,2011-07-31,2099-12-31,
313217,4141360,Subsumes,2011-07-31,2099-12-31,
313217,4154290,Subsumes,2011-07-31,2099-12-31,
313217,4199501,Subsumes,2011-07-31,2099-12-31,
313217,4232697,Subsumes,2011-07-31,2099-12-31,
313217,4242112,Has finding site,2011-07-31,2099-12-31,
313217,4344544,SNOMED - ind/CI,2013-06-03,2099-12-31,
313217,35204953,SNOMED - MedDRA eq,2009-02-02,2099-12-31,
313217,37395821,Subsumes,2016-07-31,2099-12-31,
313217,40345197,Concept poss_eq from,2017-07-31,2099-12-31,
313217,40345197,Mapped from,2017-07-31,2099-12-31,
313217,42709991,Focus of,2012-01-31,2099-12-31,
313217,44782442,Subsumes,2014-01-31,2099-12-31,
313217,44783731,Focus of,2014-01-31,2099-12-31,
313217,44807374,Asso finding of,2015-03-01,2099-12-31,
313217,44821957,Mapped from,1970-01-01,2099-12-31,
313217,45576876,Mapped from,2014-07-01,2099-12-31,
314665,314665,Mapped from,1970-01-01,2099-12-31,
314665,314665,Maps to,1970-01-01,2099-12-31,
314665,1569172,Mapped from,1970-01-01,2099-12-31,
314665,1569173,Mapped from,1970-01-01,2099-12-31,
314665,4108832,Subsumes,2011-07-31,2099-12-31,
314665,4137382,Subsumes,2011-07-31,2099-12-31,
314665,4323077,Asso finding of,2011-07-31,2099-12-31,
314665,4341163,SNOMED - ind/CI,2013-06-03,2099-12-31,
314665,35204954,SNOMED - MedDRA eq,2009-02-02,2099-12-31,
314665,36712986,Subsumes,2017-01-31,2099-12-31,
314665,36714994,Subsumes,2017-01-31,2099-12-31,
314665,37394464,Subsumes,2016-07-31,2099-12-31,
314665,45466876,Mapped from,1970-01-01,2099-12-31,
314665,45552793,Mapped from,2014-07-01,2099-12-31,
314665,45572094,Mapped from,2014-07-01,2099-12-31,
317100,43021733,Subsumes,2013-01-31,2099-12-31,
317100,43022053,Subsumes,2013-01-31,2099-12-31,
317302,4068155,Is a,2011-07-31,2099-12-31,
317302,4102252,Subsumes,2011-07-31,2099-12-31,
317302,4124704,Subsumes,2017-07-31,2099-12-31,
317302,4339406,Has finding site,2011-07-31,2099-12-31,
317893,4108830,Subsumes,2011-07-31,2099-12-31,
317893,4303256,Subsumes,2016-01-31,2099-12-31,
320425,4277903,Subsumes,2011-07-31,2099-12-31,
320536,4064452,Subsumes,2011-07-31,2099-12-31,
320536,4111551,Subsumes,2011-07-31,2099-12-31,
373503,4139517,Subsumes,2011-07-31,2099-12-31,
433208,43020888,Subsumes,2013-01-31,2099-12-31,
434467,434467,Mapped from,1970-01-01,2099-12-31,
434467,434467,Maps to,1970-01-01,2099-12-31,
434467,4289309,Is a,2011-07-31,2099-12-31,
434467,40487103,Subsumes,2011-07-31,2099-12-31,
434467,44803452,Subsumes,2015-03-01,2099-12-31,
434467,44832679,Mapped from,1970-01-01,2099-12-31,
435561,438172,Subsumes,2011-07-31,2099-12-31,
437892,4080111,Has finding site,2011-07-31,2099-12-31,
438168,4273462,Subsumes,2011-07-31,2099-12-31,
438172,435561,Is a,2011-07-31,2099-12-31,
438172,4181217,Is a,2011-07-31,2099-12-31,
438172,4239509,Has asso morph,2011-07-31,2099-12-31,
438172,4239509,Has morphology,2015-03-01,2099-12-31,
438172,4241346,Has finding site,2011-07-31,2099-12-31,
440508,4100131,Subsumes,2015-03-01,2099-12-31,
440508,40487103,Subsumes,2011-07-31,2099-12-31,
441108,4102845,Is a,2011-07-31,2099-12-31,
441108,4242112,Has finding site,2011-07-31,2099-12-31,
442982,44804850,Subsumes,2015-03-01,2099-12-31,
444070,4108830,Manifestation of,2011-07-31,2099-12-31,
444070,4124696,Manifestation of,2011-07-31,2099-12-31,
444070,4171887,Manifestation of,2011-07-31,2099-12-31,
444070,4190306,Manifestation of,2011-07-31,2099-12-31,
444070,4303256,Manifestation of,2011-07-31,2099-12-31,
444070,43021733,Manifestation of,2013-01-31,2099-12-31,
444070,43022053,Manifestation of,2013-01-31,2099-12-31,
444070,44782442,Manifestation of,2014-01-31,2099-12-31,
1397671,36712986,Maps to,2017-04-03,2099-12-31,
1397678,37394031,Maps to,2017-04-03,2099-12-31,
1397724,36713962,Maps to,2017-04-03,2099-12-31,
1569172,314665,Maps to,1970-01-01,2099-12-31,
1569174,4108832,Maps to,1970-01-01,2099-12-31,
2001434,2001465,Subsumes,2014-10-01,2099-12-31,
2001434,2001474,Subsumes,1970-01-01,2099-12-31,
2001434,2001476,Subsumes,2014-10-01,2099-12-31,
2001434,2001479,Subsumes,1970-01-01,2099-12-31,
2001434,2001481,Subsumes,2014-10-01,2099-12-31,
2001464,2001465,Subsumes,1970-01-01,2099-12-31,
2001465,2001434,Is a,2014-10-01,2099-12-31,
2001465,2001465,Maps to,1970-01-01,2099-12-31,
2001465,4336893,ICD9P - SNOMED eq,2014-04-01,2099-12-31,
2001466,4125858,ICD9P - SNOMED eq,1070-01-01,2099-12-31,
2001467,2001434,Is a,1970-01-01,2099-12-31,
2001467,2001467,Mapped from,1970-01-01,2099-12-31,
2001467,2001468,Subsumes,1970-01-01,2099-12-31,
2001467,2001470,Subsumes,1970-01-01,2099-12-31,
2001467,2001471,Subsumes,1970-01-01,2099-12-31,
2001467,2001473,Subsumes,1970-01-01,2099-12-31,
2001467,4265504,ICD9P - SNOMED eq,2014-04-01,2099-12-31,
2001469,2001467,Is a,1970-01-01,2099-12-31,
2001469,2001469,Maps to,1970-01-01,2099-12-31,
2001469,4039864,ICD9P - SNOMED eq,1070-01-01,2099-12-31,
2001470,2001467,Is a,1970-01-01,2099-12-31,
2001470,2001470,Mapped from,1970-01-01,2099-12-31,
2001470,2001470,Maps to,1970-01-01,2099-12-31,
2001470,4208803,ICD9P - SNOMED eq,2014-04-01,2099-12-31,
2001471,2001467,Is a,1970-01-01,2099-12-31,
2001472,2001467,Is a,1970-01-01,2099-12-31,
2001474,2001434,Is a,1970-01-01,2099-12-31,
2001474,2001474,Mapped from,1970-01-01,2099-12-31,
2001474,2001474,Maps to,1970-01-01,2099-12-31,
2001474,2001475,Subsumes,1970-01-01,2099-12-31,
2001474,2001476,Subsumes,1970-01-01,2099-12-31,
2001474,2001478,Subsumes,1970-01-01,2099-12-31,
2001475,2001474,Is a,1970-01-01,2099-12-31,
2001476,2001434,Is a,2014-10-01,2099-12-31,
2001476,2001474,Is a,1970-01-01,2099-12-31,
2001477,2001474,Is a,1970-01-01,2099-12-31,
2001478,2001474,Is a,1970-01-01,2099-12-31,
2001479,2001480,Subsumes,1970-01-01,2099-12-31,
2001479,2001482,Subsumes,1970-01-01,2099-12-31,
2001479,2001483,Subsumes,1970-01-01,2099-12-31,
2001479,4299532,ICD9P - SNOMED eq,2014-04-01,2099-12-31,
2001481,2001481,Mapped from,1970-01-01,2099-12-31,
2001481,2001481,Maps to,1970-01-01,2099-12-31,
2001482,2001479,Is a,1970-01-01,2099-12-31,
2001483,2001479,Is a,1970-01-01,2099-12-31,
2001490,2001434,Is a,2014-10-01,2099-12-31,
2001490,2001489,Is a,1970-01-01,2099-12-31,
2001490,2001490,Mapped from,1970-01-01,2099-12-31,
2001528,2001551,Subsumes,2014-10-01,2099-12-31,
2001528,2001578,Subsumes,2014-10-01,2099-12-31,
2001528,2001992,Subsumes,2014-10-01,2099-12-31,
2001545,2001551,Subsumes,1970-01-01,2099-12-31,
2001548,4181800,ICD9P - SNOMED eq,2014-04-01,2099-12-31,
2001551,2001545,Is a,1970-01-01,2099-12-31,
2001551,2001551,Mapped from,2008-10-01,2099-12-31,
2001551,2001551,Maps to,2008-10-01,2099-12-31,
2001571,2001578,Subsumes,1970-01-01,2099-12-31,
2001578,2001528,Is a,2014-10-01,2099-12-31,
2001578,2001578,Mapped from,1970-01-01,2099-12-31,
2001578,2001578,Maps to,1970-01-01,2099-12-31,
2001578,4250607,ICD9P - SNOMED eq,1070-01-01,2099-12-31,
2001981,2001992,Subsumes,1970-01-01,2099-12-31,
2001992,2001992,Maps to,2004-10-01,2099-12-31,
2001992,4338611,ICD9P - SNOMED eq,2014-04-01,2099-12-31,
2107283,4147709,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2107338,4128428,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2107338,4208803,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2107339,4094190,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2107339,4208803,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2107361,4075541,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2107372,4075541,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2107373,4075541,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2107374,4075541,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2110597,4164437,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2110597,4164437,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2313808,4125858,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2313808,4125858,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2313809,4151906,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2313915,4130387,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2313915,4180615,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2313915,4337440,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2313928,4287115,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2313929,4235899,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2313930,4235899,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2617597,313217,Maps to,2014-08-01,2099-12-31,
2725194,2725198,Subsumes,2014-04-22,2099-12-31,
2725194,2725199,Subsumes,2014-04-22,2099-12-31,
2725194,2725204,Subsumes,2014-04-22,2099-12-31,
2725194,2725206,Subsumes,2014-04-22,2099-12-31,
2725194,2815235,Subsumes,2014-04-22,2099-12-31,
2725194,2848304,Subsumes,2014-04-22,2099-12-31,
2725198,2725194,Is a,2014-04-22,2099-12-31,
2725198,2725198,Mapped from,2014-04-22,2099-12-31,
2725198,2725198,Maps to,2014-04-22,2099-12-31,
2725198,2801516,Is a,2014-04-22,2099-12-31,
2725198,2815235,Is a,2014-04-22,2099-12-31,
2725199,2725194,Is a,2014-04-22,2099-12-31,
2725199,2725199,Mapped from,2014-04-22,2099-12-31,
2725199,2801516,Is a,2014-04-22,2099-12-31,
2725199,2848304,Is a,2014-04-22,2099-12-31,
2725199,2852845,Is a,2014-04-22,2099-12-31,
2725199,2874559,Is a,2014-04-22,2099-12-31,
